United Arab Emirates,2022-01-01,27043
Kazakhstan,2022-02-20,54073
Asia,2022-01-24,18745735
Greece,2022-01-01,65701
Malta,2022-01-30,2362
Bahamas,2022-02-15,333
Senegal,2022-01-16,4472
Slovakia,2022-01-22,14392
Suriname,2022-02-03,289
Tunisia,2022-02-19,6943
European Union,2022-02-17,902744
Wallis and Futuna,2022-01-08,7
Togo,2022-01-14,4854
Somalia,2022-02-03,1578
Serbia,2022-01-17,6097
Oceania,2022-01-30,292647
Malawi,2022-01-26,1287
World,2022-01-02,32391144
Uganda,2022-01-29,37595
South Korea,2022-02-09,238855
Moldova,2022-01-16,5755
Democratic Republic of Congo,2022-01-02,7036
Australia,2022-01-12,251371
United States,2022-01-30,662636
Myanmar,2022-01-10,157663
Denmark,2022-02-14,3516
Liberia,2022-02-17,
Tajikistan,2022-01-10,65092
France,2022-01-07,555746
Brazil,2022-01-19,1587016
Curacao,2022-01-20,514
Georgia,2022-02-04,6721
Mauritania,2022-02-12,3264
United States,2022-01-02,1065186
Saint Vincent and the Grenadines,2022-01-21,82
Comoros,2022-01-29,1862
Lebanon,2022-01-12,28195
Saint Vincent and the Grenadines,2022-01-15,82
Mozambique,2022-01-29,68786
Scotland,2022-02-09,5747
Romania,2022-01-02,15237
Iceland,2022-01-24,2285
Slovenia,2022-01-11,6977
Angola,2022-02-02,101233
Netherlands,2022-01-28,45427
Taiwan,2022-01-25,370950
Luxembourg,2022-02-04,2440
Peru,2022-01-17,215591
Guinea,2022-01-20,167903
Maldives,2022-02-10,2959
Norway,2022-01-10,54137
Slovakia,2022-01-13,21192
Hungary,2022-01-23,25526
Bahamas,2022-01-27,417
Tanzania,2022-01-18,33124
Honduras,2022-01-12,14179
Bhutan,2022-01-12,157
Bahamas,2022-02-09,316
European Union,2022-01-04,2328523
Iran,2022-02-13,342174
Wales,2022-01-21,7215
New Zealand,2022-02-01,47848
Dominica,2022-02-10,24
North Macedonia,2022-02-09,955
British Virgin Islands,2022-01-10,17
Panama,2022-02-16,13285
Mauritania,2022-02-14,2766
Botswana,2022-02-03,2733
Bulgaria,2022-01-06,15292
Croatia,2022-02-09,4685
Scotland,2022-01-03,21250
Malawi,2022-01-23,1514
Moldova,2022-01-07,2773
Ethiopia,2022-01-31,352
England,2022-01-14,161871
Taiwan,2022-02-02,121213
Scotland,2022-01-20,16095
Hong Kong,2022-01-03,21288
Asia,2022-01-15,25127260
India,2022-01-19,6879112
Faeroe Islands,2022-02-03,87
Saint Vincent and the Grenadines,2022-01-29,114
Poland,2022-01-06,116098
Mali,2022-01-26,
Romania,2022-01-07,22703
Ghana,2022-01-17,170013
Sweden,2022-02-09,47532
Fiji,2022-01-27,216
Guinea,2022-01-02,70540
Uruguay,2022-02-13,7273
New Zealand,2022-01-05,15257
Senegal,2022-01-15,4472
Switzerland,2022-01-28,29912
Mexico,2022-01-16,562477
Montserrat,2022-02-03,6
Guinea-Bissau,2022-01-03,93
South Korea,2022-01-08,452615
Ghana,2022-01-27,84487
Scotland,2022-02-10,5885
Curacao,2022-02-06,225
Uruguay,2022-01-13,16486
Comoros,2022-02-07,2854
Togo,2022-01-21,4954
Cayman Islands,2022-02-08,37
Sint Maarten (Dutch part),2022-02-06,59
Uganda,2022-01-26,33399
Ukraine,2022-01-04,58526
Gabon,2022-01-12,3128
Tajikistan,2022-01-25,31090
China,2022-01-29,4787714
Papua New Guinea,2022-01-18,143
Central African Republic,2022-01-30,4817
Dominican Republic,2022-01-17,20772
Spain,2022-01-09,175706
Belgium,2022-01-10,125820
Belize,2022-02-04,612
France,2022-01-21,375231
Czechia,2022-01-05,47869
Peru,2022-01-14,254480
Papua New Guinea,2022-02-10,865
Israel,2022-01-31,10571
Haiti,2022-02-07,453
Indonesia,2022-02-16,1252137
Sweden,2022-01-28,69596
Burundi,2022-01-12,41
Guyana,2022-01-04,1356
South Korea,2022-01-26,301044
Brazil,2022-01-10,678443
Uruguay,2022-02-03,11796
Guinea-Bissau,2022-02-02,1972
Honduras,2022-01-02,42428
Aruba,2022-01-25,183
South Africa,2022-02-07,53486
Tunisia,2022-02-03,10656
Grenada,2022-01-28,116
Peru,2022-01-29,116919
Guinea-Bissau,2022-01-21,448
Solomon Islands,2022-01-31,997
Zambia,2022-02-10,15980
Maldives,2022-01-06,278
Sudan,2022-01-26,31537
Curacao,2022-01-04,922
Spain,2022-01-08,178485
Ireland,2022-02-01,8784
Russia,2022-01-09,94470
Aruba,2022-02-07,61
Oceania,2022-01-29,298409
Ethiopia,2022-01-08,5787
Vietnam,2022-02-17,672906
Sao Tome and Principe,2022-01-07,384
Brunei,2022-01-16,3143
Colombia,2022-01-21,269291
El Salvador,2022-02-14,6743
Tunisia,2022-02-10,7117
Lithuania,2022-02-14,1297
Croatia,2022-01-14,18595
Montenegro,2022-01-14,708
Switzerland,2022-02-09,13192
Senegal,2022-01-21,4472
Canada,2022-01-25,290515
Lebanon,2022-01-31,13442
Northern Ireland,2022-01-15,7079
Nigeria,2022-01-15,225639
Saudi Arabia,2022-01-20,169351
India,2022-02-10,4125867
Lebanon,2022-01-30,13751
Kiribati,2022-01-20,330
Northern Ireland,2022-02-01,2436
Lebanon,2022-01-17,16268
South Sudan,2022-01-27,2834
Gibraltar,2022-02-11,92
Montenegro,2022-01-18,779
Peru,2022-01-28,120054
Malawi,2022-02-06,1320
New Zealand,2022-01-24,54577
Bolivia,2022-02-03,36615
European Union,2022-01-31,1910652
Qatar,2022-02-13,16096
Africa,2022-02-16,1028518
Finland,2022-01-15,42690
Asia,2022-01-27,17080580
Sint Maarten (Dutch part),2022-01-08,140
Ukraine,2022-02-13,58327
Venezuela,2022-01-22,126261
Dominican Republic,2022-02-12,17764
Lower middle income,2022-01-01,12479083
Maldives,2022-01-21,2347
Faeroe Islands,2022-02-11,30
Andorra,2022-01-04,865
Sweden,2022-01-04,24977
Spain,2022-01-21,237378
Uruguay,2022-02-02,13029
Malawi,2022-01-20,1406
Azerbaijan,2022-01-04,12957
Bosnia and Herzegovina,2022-01-16,4315
European Union,2022-02-08,1332174
Japan,2022-01-27,237492
Nicaragua,2022-01-08,23052
Qatar,2022-02-18,16108
South Korea,2022-02-08,217237
Armenia,2022-01-17,8376
Guinea,2022-02-10,132
Laos,2022-01-11,35334
Liechtenstein,2022-01-06,230
Malaysia,2022-02-07,74761
Lebanon,2022-02-08,10907
Wales,2022-02-17,6013
South America,2022-02-06,2187185
Aruba,2022-02-16,50
Ghana,2022-01-28,84487
Botswana,2022-01-26,2733
Dominica,2022-01-17,36
Nigeria,2022-01-05,138965
Vietnam,2022-01-27,1011060
China,2022-02-12,5385000
Papua New Guinea,2022-01-17,215
Macao,2022-01-28,2437
Nauru,2022-01-07,0
Bermuda,2022-01-05,221
Turkey,2022-01-18,348211
Lithuania,2022-02-12,1372
South Korea,2022-01-28,304584
Kosovo,2022-01-23,4250
Jamaica,2022-01-03,1997
South Africa,2022-01-19,66161
Turkey,2022-01-07,567435
Algeria,2022-01-29,16222
Georgia,2022-02-10,3715
Germany,2022-01-06,425485
Low income,2022-02-06,314392
Moldova,2022-02-03,5345
Jersey,2022-02-09,101
Nauru,2022-01-16,0
Algeria,2022-02-03,16222
Honduras,2022-02-10,15845
Dominica,2022-01-28,44
Luxembourg,2022-01-12,6370
South Sudan,2022-01-29,2910
Canada,2022-02-07,164568
Kiribati,2022-01-06,748
Greece,2022-01-17,75207
Latvia,2022-01-02,6304
United States,2022-01-21,825178
Namibia,2022-01-31,7040
Kuwait,2022-01-23,7657
Argentina,2022-01-08,412976
Bulgaria,2022-01-16,21478
Germany,2022-01-11,615042
Lebanon,2022-01-26,14177
Spain,2022-01-05,194965
Syria,2022-01-07,40969
England,2022-01-22,96872
Belarus,2022-01-18,58008
Gambia,2022-01-17,2299
Eswatini,2022-01-16,2726
Kazakhstan,2022-02-19,351158
Malawi,2022-01-28,1148
Montserrat,2022-01-12,38
French Polynesia,2022-02-07,217
Georgia,2022-01-25,5040
Indonesia,2022-02-19,1252137
Belgium,2022-02-15,33478
Honduras,2022-01-07,31380
Faeroe Islands,2022-01-14,265
Philippines,2022-02-08,339198
Mexico,2022-01-03,42873
Mali,2022-02-02,
Macao,2022-01-17,2627
Burkina Faso,2022-01-03,10718
Cyprus,2022-01-05,3393
Upper middle income,2022-01-15,10309809
San Marino,2022-01-29,248
Eswatini,2022-01-07,1907
Sint Maarten (Dutch part),2022-01-01,15
Equatorial Guinea,2022-01-14,192
Bulgaria,2022-02-02,7923
Peru,2022-02-11,104309
South Sudan,2022-01-25,2758
Cook Islands,2022-02-14,6
Northern Ireland,2022-02-13,2058
Niger,2022-01-26,972
Panama,2022-01-13,27235
New Zealand,2022-01-13,41492
Ukraine,2022-01-03,62619
Albania,2022-01-22,5471
Curacao,2022-01-14,1064
Dominican Republic,2022-02-13,17589
French Polynesia,2022-01-30,217
Israel,2022-01-20,26487
Georgia,2022-01-15,8300
Germany,2022-01-01,401023
Gibraltar,2022-01-16,134
Africa,2022-01-23,2302217
Morocco,2022-01-11,65404
Greenland,2022-01-07,26
Sweden,2022-02-06,55096
World,2022-02-14,23566198
Ethiopia,2022-01-12,430
Qatar,2022-01-22,25701
Austria,2022-02-09,18404
Mauritania,2022-02-09,4010
Tonga,2022-01-17,94
Sierra Leone,2022-01-01,1199
Nicaragua,2022-02-03,30097
Togo,2022-01-06,4788
North America,2022-01-28,2099582
Uzbekistan,2022-01-08,75878
Kenya,2022-02-18,181643
Saint Vincent and the Grenadines,2022-02-03,189
Suriname,2022-02-09,144
Tajikistan,2022-01-20,42091
Sri Lanka,2022-02-13,56803
Aruba,2022-02-03,65
Saint Kitts and Nevis,2022-01-07,86
Togo,2022-01-03,4981
Croatia,2022-02-06,5295
Cyprus,2022-01-04,3393
Eswatini,2022-01-04,1154
Argentina,2022-02-10,220865
Macao,2022-02-13,2165
Malaysia,2022-01-31,157039
Jamaica,2022-01-11,3846
Mali,2022-01-20,11722
Sint Maarten (Dutch part),2022-01-03,15
Lithuania,2022-02-09,1819
Iceland,2022-01-14,3127
Mali,2022-01-30,
Asia,2022-02-14,17409102
Hungary,2022-02-05,14915
New Caledonia,2022-02-03,136
Guernsey,2022-02-09,93
Afghanistan,2022-01-21,8355
Macao,2022-02-11,1784
Low income,2022-01-14,432154
Grenada,2022-01-16,171
Faeroe Islands,2022-02-17,24
Cayman Islands,2022-01-27,130
Anguilla,2022-01-26,28
New Caledonia,2022-01-16,192
Montenegro,2022-02-16,345
South America,2022-02-05,2106022
Cambodia,2022-02-04,39140
Northern Ireland,2022-02-10,2217
Guinea-Bissau,2022-01-30,1163
Somalia,2022-02-09,2634
Gambia,2022-01-08,2299
Spain,2022-01-01,78737
Tunisia,2022-01-30,9143
Luxembourg,2022-01-07,5408
Slovenia,2022-01-25,2815
Albania,2022-01-11,9063
Uruguay,2022-02-16,5419
Dominican Republic,2022-01-10,16176
Canada,2022-02-18,89424
Sri Lanka,2022-01-11,42584
Belize,2022-01-01,338
Guinea-Bissau,2022-01-07,50
French Polynesia,2022-02-14,208
Latvia,2022-02-20,1656
Kiribati,2022-01-16,527
Liechtenstein,2022-02-15,33
China,2022-01-08,7558429
Oceania,2022-01-15,319516
Cote d'Ivoire,2022-01-05,59894
North America,2022-02-02,1711203
Malta,2022-01-11,7062
Kenya,2022-01-13,64887
Guinea,2022-01-11,6924
Northern Ireland,2022-01-25,3346
Australia,2022-01-31,219391
Sudan,2022-01-24,11878
Cuba,2022-01-19,159219
Bahamas,2022-02-01,333
Northern Ireland,2022-01-10,7871
Slovakia,2022-02-03,5566
Jersey,2022-02-06,112
Honduras,2022-02-13,24020
Libya,2022-01-28,10971
Sweden,2022-02-05,56693
Taiwan,2022-02-19,262076
Moldova,2022-01-08,2926
Belarus,2022-01-08,41770
England,2022-02-05,65460
World,2022-01-17,31278398
Liechtenstein,2022-01-28,36
Andorra,2022-01-05,865
Sao Tome and Principe,2022-01-16,384
El Salvador,2022-02-15,6583
Ecuador,2022-01-15,110515
Moldova,2022-02-10,5204
Hungary,2022-02-12,9358
Algeria,2022-01-23,16222
Iceland,2022-02-11,1167
Liechtenstein,2022-02-03,84
Poland,2022-02-17,57224
Comoros,2022-01-24,609
Northern Ireland,2022-01-08,6921
Cameroon,2022-02-17,
Benin,2022-01-08,16527
Tajikistan,2022-01-02,41125
Somalia,2022-01-02,5028
Bermuda,2022-01-21,184
Cuba,2022-02-04,50908
Oman,2022-01-16,11708
Chile,2022-02-11,60582
South Sudan,2022-01-09,810
Macao,2022-02-01,1521
Bahrain,2022-01-30,3585
Low income,2022-01-15,463000
Sweden,2022-01-03,23261
Serbia,2022-01-12,2795
Wallis and Futuna,2022-01-05,7
El Salvador,2022-01-13,15221
Zambia,2022-01-05,20965
Macao,2022-01-03,1418
Wallis and Futuna,2022-01-16,6
Ireland,2022-01-01,26810
Brazil,2022-01-20,1624605
Belgium,2022-01-06,86479
Benin,2022-02-02,14887
Nicaragua,2022-02-16,24081
South Sudan,2022-01-02,810
United States,2022-01-25,758528
Azerbaijan,2022-02-03,29835
Bahamas,2022-01-01,618
Japan,2022-01-16,120844
Argentina,2022-02-12,246655
Moldova,2022-02-13,5102
Kyrgyzstan,2022-01-04,4168
Suriname,2022-01-16,269
Northern Ireland,2022-02-02,2309
Grenada,2022-02-06,75
Saint Kitts and Nevis,2022-02-16,220
Spain,2022-02-11,96253
Sri Lanka,2022-02-14,54082
Bhutan,2022-01-17,4968
Madagascar,2022-01-03,7645
Belgium,2022-02-12,33870
Liechtenstein,2022-01-25,127
Azerbaijan,2022-01-31,26703
Afghanistan,2022-01-11,15680
Argentina,2022-02-13,261770
Singapore,2022-01-23,36921
Mali,2022-01-27,
Mali,2022-01-29,
Switzerland,2022-01-12,67970
Liberia,2022-02-09,1580
Cuba,2022-02-06,42624
Romania,2022-01-17,20087
Bahrain,2022-02-01,2581
Mozambique,2022-01-27,80250
Sint Maarten (Dutch part),2022-01-14,892
Japan,2022-02-12,662049
Sierra Leone,2022-02-04,6243
Guinea-Bissau,2022-01-10,90
Jordan,2022-02-06,14848
Montserrat,2022-01-15,48
Solomon Islands,2022-01-25,1188
Central African Republic,2022-01-17,3339
Sierra Leone,2022-01-28,24900
Taiwan,2022-01-10,72815
Germany,2022-01-10,601593
Poland,2022-01-21,162504
Honduras,2022-01-26,29581
Lebanon,2022-01-23,11510
Iran,2022-01-15,554006
Samoa,2022-01-12,69
Bhutan,2022-01-14,157
Maldives,2022-02-19,1721
European Union,2022-01-26,2233832
European Union,2022-01-18,2963268
Low income,2022-01-31,349250
Brazil,2022-01-14,757652
Indonesia,2022-01-03,1528279
Cape Verde,2022-02-10,1857
Turkey,2022-02-08,161766
Oceania,2022-02-19,185909
Northern Ireland,2022-02-07,2204
Belize,2022-01-14,824
Dominican Republic,2022-01-06,14074
Costa Rica,2022-02-12,19236
Sweden,2022-01-06,28410
Ghana,2022-01-23,108548
High income,2022-02-07,3579576
Israel,2022-02-14,5571
Mali,2022-01-24,
Belarus,2022-01-19,57420
Malta,2022-01-07,7250
England,2022-01-31,79613
Cook Islands,2022-02-01,6
Guatemala,2022-01-21,87178
South Africa,2022-01-07,50181
Turks and Caicos Islands,2022-01-11,122
Dominican Republic,2022-02-08,23947
Lebanon,2022-01-25,13268
Brazil,2022-01-08,560272
Malta,2022-02-08,1413
France,2022-01-12,606194
Denmark,2022-01-10,51896
Honduras,2022-02-11,14917
Azerbaijan,2022-01-07,13304
Lebanon,2022-01-15,19299
Kazakhstan,2022-01-15,13236
Portugal,2022-02-10,62863
Romania,2022-01-01,14961
Philippines,2022-02-03,369769
Anguilla,2022-02-06,28
World,2022-01-21,29845021
Cyprus,2022-01-02,3393
Poland,2022-02-05,100300
Brunei,2022-01-12,3371
Guernsey,2022-01-30,69
Switzerland,2022-01-15,63935
Austria,2022-01-26,29758
European Union,2022-02-04,1575852
Romania,2022-02-15,8573
Azerbaijan,2022-01-03,17394
Oman,2022-01-11,11708
Liberia,2022-01-28,1580
Paraguay,2022-02-03,24715
Lower middle income,2022-02-02,9393298
Nigeria,2022-01-07,127885
Myanmar,2022-02-07,105155
Kazakhstan,2022-02-14,320446
Lithuania,2022-01-07,15086
Australia,2022-01-30,228149
Estonia,2022-01-07,4044
Colombia,2022-01-08,244682
Kenya,2022-01-06,67328
Yemen,2022-01-16,1926
United Arab Emirates,2022-01-24,33046
Finland,2022-02-14,18892
Bhutan,2022-02-01,4477
Curacao,2022-01-05,1068
Dominica,2022-02-04,107
Trinidad and Tobago,2022-02-18,1567
Mauritania,2022-01-24,5532
Brunei,2022-01-19,2883
Iran,2022-02-16,268840
Paraguay,2022-01-11,27886
Macao,2022-01-08,1748
Guinea,2022-01-29,13395
South America,2022-01-03,1316526
Mali,2022-01-17,11722
Nauru,2022-01-14,0
Grenada,2022-02-03,87
South Africa,2022-02-09,52273
Timor,2022-02-10,622
Saint Lucia,2022-01-05,87
Cambodia,2022-01-19,132709
Nepal,2022-02-09,333688
Belarus,2022-01-27,49254
Sweden,2022-02-18,35180
Indonesia,2022-01-04,1483946
Bhutan,2022-01-26,21486
Gibraltar,2022-01-10,46
Costa Rica,2022-01-25,11140
Lower middle income,2022-02-09,9471518
Hungary,2022-01-03,10347
Slovakia,2022-01-14,20324
Rwanda,2022-01-03,126688
Paraguay,2022-01-06,28290
United States,2022-02-09,446524
Armenia,2022-01-25,10429
Costa Rica,2022-02-10,17422
Afghanistan,2022-01-20,8235
Curacao,2022-01-21,509
Uganda,2022-01-07,121906
Seychelles,2022-01-04,347
United Kingdom,2022-02-10,68617
Serbia,2022-02-07,3448
Israel,2022-02-07,7605
Niger,2022-01-25,972
Cote d'Ivoire,2022-01-26,12121
Ukraine,2022-01-22,68637
Bahamas,2022-01-25,434
Ethiopia,2022-02-04,310
Philippines,2022-01-11,744828
Somalia,2022-01-06,5028
Sri Lanka,2022-01-28,61092
Algeria,2022-01-31,16222
Croatia,2022-01-07,12168
Liberia,2022-02-02,1580
Montenegro,2022-01-03,1155
British Virgin Islands,2022-01-26,10
Ukraine,2022-01-02,64009
Peru,2022-01-09,285203
Kosovo,2022-02-02,3411
Oman,2022-01-27,16068
Dominican Republic,2022-01-07,16600
Kenya,2022-02-03,157289
Ethiopia,2022-02-07,56
Angola,2022-01-27,133314
Jersey,2022-01-27,155
Lithuania,2022-01-24,6768
Central African Republic,2022-01-05,3596
Estonia,2022-02-09,1478
Colombia,2022-02-09,204031
Philippines,2022-01-31,430486
Finland,2022-01-13,52247
Australia,2022-01-03,82527
Vanuatu,2022-01-31,399
Montserrat,2022-01-18,42
Burundi,2022-01-10,41
Zambia,2022-01-20,29776
England,2022-01-05,195445
Malta,2022-01-06,6546
Faeroe Islands,2022-02-05,62
Andorra,2022-01-15,865
Tajikistan,2022-01-16,65092
Kosovo,2022-01-15,3213
Kyrgyzstan,2022-01-30,9892
United Kingdom,2022-01-17,159736
Thailand,2022-01-21,440735
Cook Islands,2022-01-22,5
North Macedonia,2022-02-11,945
Malaysia,2022-02-03,89154
Vanuatu,2022-01-11,736
North America,2022-01-05,1538711
Romania,2022-02-19,7117
Nepal,2022-01-06,218912
Jamaica,2022-02-16,1970
Bolivia,2022-01-29,44052
French Polynesia,2022-02-04,217
Cote d'Ivoire,2022-01-22,10252
United States,2022-01-04,985236
Uruguay,2022-02-20,4251
Switzerland,2022-01-29,28291
Hungary,2022-01-31,23898
Antigua and Barbuda,2022-01-16,109
Iran,2022-01-28,391581
Japan,2022-02-04,432529
Lithuania,2022-01-08,15751
Solomon Islands,2022-02-02,987
Lower middle income,2022-01-07,13407919
Canada,2022-01-17,366809
Algeria,2022-01-10,21679
Czechia,2022-01-14,69538
Jordan,2022-01-26,16541
Fiji,2022-01-19,160
Romania,2022-02-14,9135
Singapore,2022-01-14,48259
Cape Verde,2022-01-13,2607
Croatia,2022-02-02,6193
Botswana,2022-01-31,2733
Guernsey,2022-01-06,1306
Qatar,2022-01-13,17028
Palestine,2022-01-04,3012
Libya,2022-01-15,14515
Panama,2022-01-29,17646
Lithuania,2022-02-04,2601
Antigua and Barbuda,2022-01-06,34
Kosovo,2022-01-14,2955
Myanmar,2022-01-20,183218
Belgium,2022-02-10,31389
World,2022-01-25,28676172
England,2022-01-10,220651
Uganda,2022-01-30,38994
Dominica,2022-01-15,40
Upper middle income,2022-02-11,8620800
New Zealand,2022-02-14,53493
Australia,2022-02-15,157389
North Macedonia,2022-01-05,1615
Hong Kong,2022-01-19,38241
Afghanistan,2022-01-06,17604
Saint Kitts and Nevis,2022-01-11,82
Saint Kitts and Nevis,2022-01-31,41
Greenland,2022-01-04,7
Kiribati,2022-01-12,920
Saint Kitts and Nevis,2022-01-08,85
Pakistan,2022-01-21,629403
Indonesia,2022-02-03,1252137
Guinea,2022-01-27,15190
Albania,2022-01-02,5785
Paraguay,2022-02-12,25224
Samoa,2022-01-23,230
Hong Kong,2022-02-17,83917
Tajikistan,2022-01-19,47841
New Zealand,2022-02-16,49173
Haiti,2022-02-02,1422
Belize,2022-02-03,637
Cuba,2022-01-24,108897
Kosovo,2022-01-02,1443
Cayman Islands,2022-01-21,194
Kyrgyzstan,2022-02-07,7285
Norway,2022-01-31,25657
Croatia,2022-01-23,11820
Africa,2022-02-04,1067655
Romania,2022-02-05,15068
Northern Ireland,2022-02-19,2030
Bangladesh,2022-01-31,1046071
Democratic Republic of Congo,2022-01-25,6768
Isle of Man,2022-01-02,384
Dominica,2022-01-16,38
Uzbekistan,2022-01-05,63577
Czechia,2022-01-15,68118
South America,2022-02-15,2032751
Gibraltar,2022-02-18,61
Ireland,2022-01-09,32063
Georgia,2022-02-13,3204
Tunisia,2022-01-06,34063
Trinidad and Tobago,2022-02-08,1642
Czechia,2022-02-04,23112
Andorra,2022-01-06,865
Tunisia,2022-01-20,20541
Philippines,2022-01-15,790024
Kenya,2022-02-06,213069
Cote d'Ivoire,2022-01-30,35031
Moldova,2022-01-26,6385
Greece,2022-01-03,75823
High income,2022-02-17,3197523
Vietnam,2022-01-12,1089549
Iran,2022-01-02,389378
Nicaragua,2022-01-27,35880
Suriname,2022-01-24,205
England,2022-02-18,48481
Belgium,2022-01-11,125701
Ecuador,2022-01-04,51265
Tonga,2022-01-04,436
Africa,2022-02-02,1276222
Norway,2022-02-08,13346
Sri Lanka,2022-01-22,67203
Finland,2022-02-15,11205
Kosovo,2022-01-10,2690
Slovenia,2022-02-20,1449
Cook Islands,2022-02-12,6
Malta,2022-01-13,6352
Malta,2022-01-02,6066
Bermuda,2022-02-13,158
Kosovo,2022-01-19,3850
Belize,2022-01-22,691
Ethiopia,2022-01-01,12044
Uzbekistan,2022-01-03,93903
Grenada,2022-01-19,145
Suriname,2022-02-07,150
Jamaica,2022-02-07,2413
Central African Republic,2022-01-12,3596
Poland,2022-01-24,154161
Trinidad and Tobago,2022-01-17,2428
Slovakia,2022-01-03,26342
Scotland,2022-01-14,19041
North Macedonia,2022-01-06,1615
Gabon,2022-01-21,3252
Malawi,2022-01-31,1660
Uruguay,2022-01-12,12030
Vanuatu,2022-01-30,447
Hungary,2022-02-16,
Moldova,2022-01-19,4937
Cuba,2022-01-28,85586
Canada,2022-01-01,237805
Cyprus,2022-01-24,3871
Albania,2022-01-23,5471
Netherlands,2022-01-13,194251
